location,flowering_date,flowering_days,fullbloom_date,fullbloom_days
三宅島,1965-03-28,86,1965-04-09,98.0
三宅島,1966-03-17,75,1966-03-26,84.0
三宅島,1967-03-25,83,1967-03-31,89.0
三宅島,1968-03-28,87,1968-04-02,92.0
三宅島,1969-03-25,83,1969-04-04,93.0
三宅島,1971-03-27,85,1971-04-02,91.0
三宅島,1972-03-30,89,1972-04-06,96.0
三宅島,1973-04-01,90,1973-04-07,96.0
三宅島,1974-03-25,83,1974-03-31,89.0
三宅島,1975-04-02,91,,
三宅島,1976-03-25,84,1976-04-02,92.0
三宅島,1977-03-20,78,1977-03-27,85.0
三宅島,1978-04-04,93,1978-04-11,100.0
三宅島,1979-03-31,89,1979-04-10,99.0
三宅島,1980-03-31,90,1980-04-06,96.0
三宅島,1981-03-26,84,1981-04-03,92.0
三宅島,1982-03-26,84,1982-04-01,90.0
三宅島,1983-04-02,91,1983-04-09,98.0
三宅島,1984-04-04,94,1984-04-10,100.0
三宅島,1985-03-25,83,1985-04-01,90.0
三宅島,1986-03-29,87,1986-04-05,94.0
三宅島,1987-03-30,88,1987-04-08,97.0
三宅島,1988-04-04,94,1988-04-13,103.0
三宅島,1989-03-16,74,1989-04-02,91.0
三宅島,1990-03-20,78,1990-04-04,93.0
三宅島,1991-03-28,86,1991-04-06,95.0
三宅島,1992-03-31,90,1992-04-07,97.0
三宅島,1993-04-01,90,1993-04-12,101.0
三宅島,1994-04-03,92,1994-04-07,96.0
三宅島,1995-04-05,94,1995-04-10,99.0
三宅島,1996-03-28,87,1996-04-05,95.0
三宅島,1997-03-24,82,1997-03-31,89.0
三宅島,1998-03-28,86,1998-04-06,95.0
三宅島,1999-03-21,79,1999-03-28,86.0
三宅島,2000-04-04,94,2000-04-08,98.0
下関,1953-03-29,87,1953-04-10,99.0
下関,1954-03-28,86,1954-04-06,95.0
下関,1955-03-24,82,1955-04-05,94.0
下関,1956-04-04,94,1956-04-09,99.0
下関,1957-04-06,95,1957-04-11,100.0
下関,1958-03-25,83,1958-04-08,97.0
下関,1959-03-23,81,1959-04-05,94.0
下関,1960-03-29,88,1960-04-06,96.0
下関,1961-03-29,87,1961-04-06,95.0
下関,1962-04-02,91,1962-04-10,99.0
下関,1963-04-05,94,1963-04-11,100.0
下関,1964-04-01,91,1964-04-07,97.0
下関,1965-04-05,94,1965-04-11,100.0
下関,1966-03-26,84,1966-04-06,95.0
下関,1967-03-30,88,1967-04-06,95.0
下関,1968-04-02,92,1968-04-07,97.0
下関,1969-04-04,93,1969-04-12,101.0
下関,1970-04-05,94,1970-04-13,102.0
下関,1971-04-01,90,1971-04-08,97.0
下関,1972-04-02,92,1972-04-11,101.0
下関,1973-03-28,86,1973-04-02,91.0
下関,1974-03-31,89,1974-04-05,94.0
下関,1975-03-28,86,1975-04-05,94.0
下関,1976-03-25,84,1976-04-08,98.0
下関,1977-03-26,84,1977-04-01,90.0
下関,1978-03-31,89,1978-04-07,96.0
下関,1979-03-28,86,1979-04-09,98.0
下関,1980-04-02,92,1980-04-08,98.0
下関,1981-03-27,85,1981-04-06,95.0
下関,1982-03-23,81,1982-04-02,91.0
下関,1983-03-31,89,1983-04-09,98.0
下関,1984-04-06,96,1984-04-12,102.0
下関,1985-04-02,91,1985-04-09,98.0
下関,1986-04-02,91,1986-04-09,98.0
下関,1987-03-24,82,1987-04-08,97.0
下関,1988-04-04,94,1988-04-13,103.0
下関,1989-03-22,80,1989-04-02,91.0
下関,1990-03-20,78,1990-03-31,89.0
下関,1991-04-05,94,1991-04-12,101.0
下関,1992-03-27,86,1992-04-04,94.0
下関,1993-04-02,91,1993-04-09,98.0
下関,1994-04-02,91,1994-04-05,94.0
下関,1995-04-01,90,1995-04-10,99.0
下関,1996-03-31,90,1996-04-07,97.0
下関,1997-03-25,83,1997-04-01,90.0
下関,1998-03-26,84,1998-04-05,94.0
下関,1999-03-29,87,1999-04-06,95.0
下関,2000-03-28,87,2000-04-05,95.0
下関,2001-03-26,84,2001-04-04,93.0
下関,2002-03-19,77,2002-03-28,86.0
下関,2003-03-25,83,2003-04-01,90.0
下関,2004-03-23,82,2004-04-02,92.0
下関,2005-03-31,89,2005-04-08,97.0
下関,2006-03-25,83,2006-04-07,96.0
下関,2007-03-23,81,2007-04-02,91.0
