지점,년도,코스모스,코스모스,코스모스,코스모스,코스모스,코스모스,매화,매화,매화,매화,매화,매화,개나리,개나리,개나리,개나리,개나리,개나리,진달래,진달래,진달래,진달래,진달래,진달래,벚나무,벚나무,벚나무,벚나무,벚나무,벚나무,아까시나무,아까시나무,아까시나무,아까시나무,아까시나무,아까시나무,복숭아,복숭아,복숭아,복숭아,복숭아,복숭아,배나무,배나무,배나무,배나무,배나무,배나무
,,발아,발아(평비),개화,개화(평비),만발,만발(평비),발아,발아(평비),개화,개화(평비),만발,만발(평비),발아,발아(평비),개화,개화(평비),만발,만발(평비),발아,발아(평비),개화,개화(평비),만발,만발(평비),발아,발아(평비),개화,개화(평비),만발,만발(평비),발아,발아(평비),개화,개화(평비),만발,만발(평비),발아,발아(평비),개화,개화(평비),만발,만발(평비),발아,발아(평비),개화,개화(평비),만발,만발(평비)
강릉,1973,1973-04-30, ,1973-07-07, ,1973-10-10, ,1973-02-23, ,1973-03-10, ,1973-03-24, ,1973-03-02, ,1973-03-12, ,1973-03-22, ,1973-03-05, ,1973-03-22, ,1973-03-29, ,1973-03-17, ,1973-04-05, ,1973-04-12, ,1973-04-07, ,1973-05-06, ,1973-05-13, ,1973-03-22, ,1973-04-07, ,1973-04-12, ,1973-03-20, ,1973-04-03, ,1973-04-20, 
강릉,1974,1974-04-21, ,1974-07-30, ,1974-09-21, ,1974-02-16, ,1974-03-28, ,1974-04-02, ,1974-03-16, ,1974-04-02, ,1974-04-15, ,1974-03-21, ,1974-04-02, ,1974-04-12, ,1974-03-24, ,1974-04-13, ,1974-04-19, ,1974-04-13, ,1974-05-16, ,1974-05-23, ,1974-04-07, ,1974-04-20, ,1974-04-27, ,1974-03-30, ,1974-04-21, ,1974-04-28, 
강릉,1975,1975-04-17, ,1975-08-15, ,1975-09-21, ,1975-03-12, ,1975-03-28, ,1975-04-05, ,1975-03-04, ,1975-04-01, ,1975-04-07, ,1975-03-17, ,1975-03-28, ,1975-04-07, ,1975-03-09, ,1975-04-10, ,1975-04-13, ,1975-04-10, ,1975-05-20, ,1975-05-24, ,1975-03-27, ,1975-04-11, ,1975-04-17, ,1975-03-27, ,1975-04-23, ,1975-04-28, 
강릉,1976,1976-04-17, ,1976-08-29, ,1976-09-25, ,1976-03-03, ,1976-03-17, ,1976-03-26, ,1976-03-11, ,1976-03-25, ,1976-03-28, ,1976-03-04, ,1976-03-12, ,1976-03-17, ,1976-03-15, ,1976-04-13, ,1976-04-20, ,1976-04-08, ,1976-05-14, ,1976-05-18, ,1976-03-24, ,1976-04-15, ,1976-04-20, ,1976-03-29, ,1976-04-21, ,1976-04-28, 
강릉,1977,1977-04-15, ,1977-09-18, ,1977-10-21, ,1977-03-24, ,1977-03-30, ,1977-04-04, ,1977-03-13, ,1977-03-17, ,1977-03-24, ,1977-03-18, ,1977-03-26, ,1977-04-02, ,1977-03-16, ,1977-04-08, ,1977-04-13, ,1977-04-11, ,1977-05-06, ,1977-05-13, ,1977-03-29, ,1977-04-04, ,1977-04-08, ,1977-03-29, ,1977-04-13, ,1977-04-17, 
강릉,1978,1978-04-11, ,1978-08-08, ,1978-10-18, ,1978-02-15, ,1978-02-23, ,1978-03-26, ,1978-03-15, ,1978-03-28, ,1978-04-01, ,1978-03-16, ,1978-03-29, ,1978-04-06, ,1978-03-24, ,1978-04-08, ,1978-04-12, ,1978-04-09, ,1978-05-08, ,1978-05-14, ,1978-03-21, ,1978-03-30, ,1978-04-02, ,1978-04-01, ,1978-04-14, ,1978-04-18, 
강릉,1979,1979-04-21, ,1979-09-10, ,1979-10-18, ,1979-02-13, ,1979-02-15, ,1979-03-16, ,1979-03-09, ,1979-03-18, ,1979-03-28, ,1979-03-14, ,1979-03-21, ,1979-03-28, ,1979-03-28, ,1979-04-04, ,1979-04-10, ,1979-04-12, ,1979-05-17, ,1979-05-24, ,1979-04-03, ,1979-04-15, ,1979-05-01, ,1979-03-12, ,1979-04-01, ,1979-04-08, 
강릉,1980,1980-04-20, ,1980-09-16, ,1980-10-14, ,1980-02-26, ,1980-03-11, ,1980-03-24, ,1980-03-15, ,1980-03-24, ,1980-03-31, ,1980-03-21, ,1980-03-28, ,1980-04-12, ,1980-03-27, ,1980-04-09, ,1980-04-17, ,1980-04-16, ,1980-05-08, ,1980-05-16, ,1980-04-08, ,1980-04-17, ,1980-04-26, ,1980-03-31, ,1980-04-17, ,1980-04-27, 
강릉,1981,1981-04-01, ,1981-09-04, ,1981-09-12, ,1981-03-06, ,1981-03-14, ,1981-03-29, ,1981-03-16, ,1981-03-26, ,1981-04-06, ,1981-03-24, ,1981-04-06, ,1981-04-19, ,1981-04-02, ,1981-04-08, ,1981-04-14, ,1981-04-16, ,1981-05-10, ,1981-05-17, ,1981-04-06, ,1981-04-17, ,1981-04-26, ,1981-04-02, ,1981-04-16, ,1981-04-26, 
강릉,1982,1982-04-15, ,1982-09-01, ,1982-10-09, ,1982-03-05, ,1982-03-12, ,1982-03-23, ,1982-03-12, ,1982-03-23, ,1982-03-30, ,1982-03-17, ,1982-03-24, ,1982-03-27, ,1982-03-29, ,1982-04-06, ,1982-04-12, ,1982-04-14, ,1982-05-09, ,1982-05-17, ,1982-04-04, ,1982-04-13, ,1982-04-19, ,1982-04-03, ,1982-04-08, ,1982-04-16, 
강릉,1983,1983-04-07, ,1983-09-13, ,1983-10-11, ,1983-03-16, ,1983-03-20, ,1983-04-05, ,1983-03-25, ,1983-03-31, ,1983-04-08, ,1983-03-24, ,1983-03-31, ,1983-04-09, ,1983-04-02, ,1983-04-08, ,1983-04-16, ,1983-04-15, ,1983-05-12, ,1983-05-18, ,1983-04-04, ,1983-04-18, ,1983-04-25, ,1983-04-04, ,1983-04-12, ,1983-04-20, 
강릉,1984,1984-04-16, ,1984-09-05, ,1984-10-15, ,1984-03-15, ,1984-03-23, ,1984-04-04, ,1984-03-20, ,1984-04-03, ,1984-04-16, ,1984-03-21, ,1984-03-31, ,1984-04-08, ,1984-03-20, ,1984-04-23, ,1984-05-01, ,1984-04-10, ,1984-05-21, ,1984-05-23, ,1984-04-07, ,1984-04-16, ,1984-04-24, ,1984-04-02, ,1984-04-15, ,1984-04-24, 
강릉,1985,1985-04-18, ,1985-09-11, ,1985-10-16, ,1985-02-19, ,1985-03-06, ,1985-03-29, ,1985-03-18, ,1985-03-26, ,1985-04-04, ,1985-03-17, ,1985-03-28, ,1985-04-04, ,1985-03-19, ,1985-04-10, ,1985-04-22, ,1985-04-05, ,1985-05-03, ,1985-05-17, ,1985-03-30, ,1985-04-11, ,1985-04-23, ,1985-04-10, ,1985-04-21, ,1985-04-24, 
강릉,1986,1986-03-29, ,1986-07-23, ,1986-08-03, ,1986-02-16, ,1986-02-23, ,1986-03-11, ,1986-03-27, ,1986-03-31, ,1986-04-06, ,1986-03-26, ,1986-04-02, ,1986-04-07, ,1986-03-25, ,1986-04-11, ,1986-04-14, ,1986-04-13, ,1986-05-11, ,1986-05-16, ,1986-04-05, ,1986-04-13, ,1986-04-20, ,1986-04-11, ,1986-04-21, ,1986-04-25, 
강릉,1987,1987-04-20, ,1987-09-01, ,1987-09-10, ,1987-02-17, ,1987-03-06, ,1987-03-19, ,1987-03-19, ,1987-03-30, ,1987-04-07, ,1987-03-17, ,1987-03-29, ,1987-04-06, ,1987-03-24, ,1987-04-10, ,1987-04-15, ,1987-04-16, ,1987-05-03, ,1987-05-19, ,1987-04-06, ,1987-04-12, ,1987-04-19, ,1987-04-10, ,1987-04-19, ,1987-04-24, 
강릉,1988,1988-04-16, ,1988-08-30, ,1988-09-15, ,1988-02-20, ,1988-03-08, ,1988-03-25, ,1988-03-22, ,1988-03-31, ,1988-04-09, ,1988-03-19, ,1988-03-29, ,1988-04-06, ,1988-03-26, ,1988-04-15, ,1988-04-17, ,1988-05-09, ,1988-05-15, ,1988-05-20, ,1988-04-07, ,1988-04-14, ,1988-04-21, ,1988-03-27, ,1988-04-15, ,1988-04-27, 
강릉,1989,1989-04-10, ,1989-07-24, ,1989-08-03, ,1989-03-04, ,1989-03-15, ,1989-03-21, ,1989-03-14, ,1989-03-21, ,1989-03-24, ,1989-03-14, ,1989-03-19, ,1989-03-24, ,1989-03-19, ,1989-04-03, ,1989-04-09, ,1989-04-10, ,1989-05-06, ,1989-05-10, ,1989-03-27, ,1989-04-05, ,1989-04-13, ,1989-04-02, ,1989-04-17, ,1989-05-04, 
강릉,1990,1990-05-12, ,1990-09-13, ,1990-10-02, ,1990-03-12, ,1990-03-14, ,1990-03-20, ,1990-03-13, ,1990-03-26, ,1990-04-05, ,1990-03-18, ,1990-03-23, ,1990-04-05, ,1990-03-14, ,1990-04-01, ,1990-04-07, ,1990-04-13, ,1990-05-09, ,1990-05-16, ,1990-03-23, ,1990-04-02, ,1990-04-11, ,1990-03-29, ,1990-04-14, ,1990-04-18, 
강릉,1991,1991-05-11, ,1991-09-21, ,1991-09-30, ,1991-03-12, ,1991-03-20, ,1991-04-05, ,1991-03-24, ,1991-03-31, ,1991-04-06, ,1991-03-23, ,1991-04-03, ,1991-04-08, ,1991-04-07, ,1991-04-12, ,1991-04-15, ,1991-05-12, ,1991-05-16, ,1991-05-27, ,1991-04-07, ,1991-04-15, ,1991-04-21, ,1991-04-11, ,1991-04-21, ,1991-04-25, 
강릉,1992,1992-06-10, ,1992-09-03, ,1992-09-16, ,1992-02-28, ,1992-03-12, ,1992-03-19, ,1992-03-17, ,1992-03-24, ,1992-04-01, ,1992-03-07, ,1992-03-13, ,1992-03-25, ,1992-03-28, ,1992-04-03, ,1992-04-05, ,1992-04-11, ,1992-05-08, ,1992-05-16, ,1992-03-30, ,1992-04-04, ,1992-04-13, ,1992-03-31, ,1992-04-04, ,1992-04-13, 
강릉,1993,1993-05-10, ,1993-09-12, ,1993-09-19, ,1993-03-10, ,1993-03-21, ,1993-03-24, ,1993-03-21, ,1993-03-23, ,1993-04-01, ,1993-03-24, ,1993-03-27, ,1993-04-07, ,1993-03-22, ,1993-04-06, ,1993-04-08, ,1993-04-26, ,1993-05-21, ,1993-05-26, ,1993-03-30, ,1993-04-13, ,1993-04-20, ,1993-04-02, ,1993-04-20, ,1993-04-26, 
강릉,1994,1994-05-06, ,1994-08-25, ,1994-09-08, ,1994-02-18, ,1994-03-26, ,1994-04-02, ,1994-03-27, ,1994-04-01, ,1994-04-04, ,1994-03-27, ,1994-04-01, ,1994-04-04, ,1994-03-27, ,1994-04-06, ,1994-04-11, ,1994-04-24, ,1994-05-12, ,1994-05-17, ,1994-04-01, ,1994-04-07, ,1994-04-20, ,1994-04-04, ,1994-04-16, ,1994-04-26, 
강릉,1995,1995-05-05, ,1995-08-28, , , ,1995-02-23, ,1995-03-20, , , ,1995-03-16, ,1995-03-26, , , ,1995-03-26, ,1995-04-01, , , ,1995-03-30, ,1995-04-07, , , ,1995-04-14, ,1995-05-11, , , ,1995-03-30, ,1995-04-09, , , ,1995-04-06, ,1995-04-19, , , 
강릉,1996,1996-04-26, ,1996-08-26, , , ,1996-03-03, ,1996-04-04, , , ,1996-03-23, ,1996-04-07, , , ,1996-03-25, ,1996-04-08, , , ,1996-03-30, ,1996-04-13, , , ,1996-04-25, ,1996-05-16, , , ,1996-04-04, ,1996-04-19, , , ,1996-04-09, ,1996-04-21, , , 
강릉,1997,1997-04-26, ,1997-08-16, , , ,1997-03-01, ,1997-03-18, , , ,1997-03-14, ,1997-03-25, , , ,1997-03-25, ,1997-03-30, , , ,1997-03-29, ,1997-04-05, , , ,1997-04-22, ,1997-05-05, , , ,1997-03-26, ,1997-04-07, , , ,1997-03-28, ,1997-04-12, , , 
