stn_num,location,tm,year,month,avgTa,avgmaxTa,avgminTa,avgRhm,sumRn,avgWs,sumSsHr,SsDR
90,Sokcho,1968-01-01,1968,1,-0.7,3.2,-4.4,47,0,2.1,218.6,72
90,Sokcho,1968-02-01,1968,2,-2.1,1.9,-5.4,51,3.3,2.2,236.5,76.05
90,Sokcho,1968-03-01,1968,3,5.9,9.8,2.1,57,8.8,2.1,223.7,60.69
90,Sokcho,1968-04-01,1968,4,10.5,14.4,6.7,63,6.9,2,255.7,64.88
90,Sokcho,1968-05-01,1968,5,14.6,17.7,11.9,74,49.1,2.2,187.8,42.7
90,Sokcho,1968-06-01,1968,6,18.5,21.9,15.8,82,48.3,1.9,182.2,41.23
90,Sokcho,1968-07-01,1968,7,22.8,24.9,20.8,87,304.7,1.6,117.4,26.15
90,Sokcho,1968-08-01,1968,8,23.3,26.5,20.6,84,299.8,1.8,148.3,35.18
90,Sokcho,1968-09-01,1968,9,19.9,23.7,16.6,79,113.7,2,194.7,52.23
90,Sokcho,1968-10-01,1968,10,13.3,17,9.7,75,342.1,2.7,159.3,45.96
90,Sokcho,1968-11-01,1968,11,9.5,13.8,6,64,24.5,2.6,182.8,60.31
90,Sokcho,1968-12-01,1968,12,5,8.4,2.1,67,60.8,2.8,138.6,46.9
90,Sokcho,1969-01-01,1969,1,-0.9,1.9,-3.6,60,112.6,3.7,161.6,53.23
90,Sokcho,1969-02-01,1969,2,-1,2.2,-3.9,63,139.1,2.4,123.4,41.13
90,Sokcho,1969-03-01,1969,3,3.5,7,0.1,58,77.5,2.8,210.6,57.14
90,Sokcho,1969-04-01,1969,4,10.7,14.7,6.5,66,254.3,2.2,184.5,46.82
90,Sokcho,1969-05-01,1969,5,16.3,19.9,13,69,112.3,2.3,186.5,42.41
90,Sokcho,1969-06-01,1969,6,19.6,22.4,16.4,72,59.6,1.9,178.6,40.42
90,Sokcho,1969-07-01,1969,7,23.3,25.9,20.8,80,219,1.7,107.1,23.85
90,Sokcho,1969-08-01,1969,8,24.8,27.7,22.2,78,236.4,1.7,174.2,41.33
90,Sokcho,1969-09-01,1969,9,19.6,22.4,16.9,83,104.2,1.4,115.9,31.1
90,Sokcho,1969-10-01,1969,10,14.6,18.7,10.7,65,3,2,221.9,64
90,Sokcho,1969-11-01,1969,11,7.6,11.2,4.2,52,48.9,2.4,182.6,60.24
90,Sokcho,1969-12-01,1969,12,1,4.4,-2.6,45,23.2,3.8,189.9,64.26
90,Sokcho,1970-01-01,1970,1,-1.4,2,-4.6,52,22.8,3.7,218.6,72
90,Sokcho,1970-02-01,1970,2,1.8,5.1,-1.3,51,83.4,3.8,189.3,63.1
90,Sokcho,1970-03-01,1970,3,1.9,5.4,-1.2,48,12.9,4.1,267.2,72.49
90,Sokcho,1970-04-01,1970,4,10.2,13.3,6.9,65,0.2,3.2,195.3,49.56
90,Sokcho,1970-05-01,1970,5,16.5,19.8,13.9,69,61.4,3.7,183.6,41.75
90,Sokcho,1970-06-01,1970,6,18.6,21.5,16,79,76.9,2.7,188.7,42.7
90,Sokcho,1970-07-01,1970,7,22.2,25.2,20.1,82,503.9,3.2,138.3,30.8
90,Sokcho,1970-08-01,1970,8,23.4,25.4,21.7,88,200.7,2.6,85.2,20.21
90,Sokcho,1970-09-01,1970,9,20.4,23,17.5,79,306.4,2.8,145.1,38.93
90,Sokcho,1970-10-01,1970,10,15,18,11.8,71,44.1,2.8,206.1,59.45
90,Sokcho,1970-11-01,1970,11,8.1,11.9,4.2,55,35.4,3.8,207.5,68.46
90,Sokcho,1970-12-01,1970,12,2,5.7,-1.7,47,14.2,4.5,205.7,69.61
90,Sokcho,1971-01-01,1971,1,-0.1,3.1,-3.1,57,57.4,4.1,176.6,58.17
90,Sokcho,1971-02-01,1971,2,0.1,3,-2.6,64,38.9,3.5,201.9,67.3
90,Sokcho,1971-03-01,1971,3,3.9,7.5,0.5,56,57.6,4.1,246.3,66.82
90,Sokcho,1971-04-01,1971,4,11.2,15.3,7.4,56,40.2,4.2,227.8,57.8
90,Sokcho,1971-05-01,1971,5,16.4,20.7,13,65,82.7,4.3,227.9,51.82
90,Sokcho,1971-06-01,1971,6,19.3,22.2,16.7,82,70.2,3.3,151.6,34.31
90,Sokcho,1971-07-01,1971,7,23.7,26.6,21.1,78,125.8,2.9,98.7,21.98
90,Sokcho,1971-08-01,1971,8,22.6,24.9,20.5,84,469.5,3.1,133.4,31.65
90,Sokcho,1971-09-01,1971,9,18.9,21.3,16.3,79,255,2.6,134.8,36.17
90,Sokcho,1971-10-01,1971,10,14.3,18.1,10.6,60,19.7,3.3,235.9,68.04
